train_acc_s0,train_acc_s1,mean_train_acc
0.9832535982131958,0.9839285612106323,0.9835910797119141
1.0,0.9982143044471741,0.9991071224212646
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
